INSTANCE;VALUE_DP;WEIGHT_DP;EXECUTION_TIME_DP
problem_10_50_1_1;159;50;0.000000
problem_10_50_1_2;168;57;0.000000
problem_10_50_1_3;185;118;0.001000
problem_10_50_1_4;212;226;0.000000
problem_10_50_1_5;213;242;0.001001
problem_10_50_2_1;64;50;0.000000
problem_10_50_2_2;74;61;0.000000
problem_10_50_2_3;130;122;0.001000
problem_10_50_2_4;233;226;0.000000
problem_10_50_2_5;237;242;0.000000
problem_10_50_3_1;79;49;0.000000
problem_10_50_3_2;127;77;0.000000
problem_10_50_3_3;173;113;0.000000
problem_10_50_3_4;308;238;0.001001
problem_10_50_3_5;281;201;0.000000
problem_10_50_4_1;50;50;0.000000
problem_10_50_4_2;79;79;0.000000
problem_10_50_4_3;113;113;0.000000
problem_10_50_4_4;238;238;0.000000
problem_10_50_4_5;204;204;0.000000
problem_10_100_1_1;198;86;0.000000
problem_10_100_1_2;325;141;0.000000
problem_10_100_1_3;324;342;0.000999
problem_10_100_1_4;408;417;0.001000
problem_10_100_1_5;429;418;0.000000
problem_10_100_2_1;117;100;0.001001
problem_10_100_2_2;159;146;0.000000
problem_10_100_2_3;361;343;0.001000
problem_10_100_2_4;483;455;0.000000
problem_10_100_2_5;445;449;0.000000
problem_10_100_3_1;141;91;0.000000
problem_10_100_3_2;177;127;0.000000
problem_10_100_3_3;298;238;0.000000
problem_10_100_3_4;494;424;0.001001
problem_10_100_3_5;565;485;0.001001
problem_10_100_4_1;101;101;0.000000
problem_10_100_4_2;129;129;0.000000
problem_10_100_4_3;238;238;0.000999
problem_10_100_4_4;432;432;0.000000
problem_10_100_4_5;494;494;0.000000
problem_10_500_1_1;949;464;0.001001
problem_10_500_1_2;1267;876;0.001001
problem_10_500_1_3;2205;878;0.001000
problem_10_500_1_4;2348;1357;0.002002
problem_10_500_1_5;2726;2768;0.003001
problem_10_500_2_1;502;500;0.002001
problem_10_500_2_2;870;876;0.001001
problem_10_500_2_3;934;889;0.002002
problem_10_500_2_4;1463;1352;0.002001
problem_10_500_2_5;2899;2881;0.003008
problem_10_500_3_1;537;497;0.000000
problem_10_500_3_2;1184;1154;0.002001
problem_10_500_3_3;1080;1030;0.001001
problem_10_500_3_4;1694;1624;0.002001
problem_10_500_3_5;3112;3032;0.004003
problem_10_500_4_1;498;498;0.000000
problem_10_500_4_2;1154;1154;0.001006
problem_10_500_4_3;1036;1036;0.001000
problem_10_500_4_4;1632;1632;0.002001
problem_10_500_4_5;3032;3032;0.003003
problem_10_1000_1_1;2287;964;0.001001
problem_10_1000_1_2;3143;1675;0.002001
problem_10_1000_1_3;3041;2630;0.004004
problem_10_1000_1_4;4649;2367;0.003005
problem_10_1000_1_5;4206;5251;0.006004
problem_10_1000_2_1;1207;991;0.001000
problem_10_1000_2_2;2047;1819;0.001997
problem_10_1000_2_3;2864;2616;0.005005
problem_10_1000_2_4;2522;2391;0.002000
problem_10_1000_2_5;5210;5381;0.005003
problem_10_1000_3_1;1030;990;0.001001
problem_10_1000_3_2;2183;2153;0.002001
problem_10_1000_3_3;2338;2288;0.005004
problem_10_1000_3_4;2691;2621;0.003002
problem_10_1000_3_5;4764;4694;0.007004
problem_10_1000_4_1;995;995;0.006004
problem_10_1000_4_2;2153;2153;0.003002
problem_10_1000_4_3;2288;2288;0.004004
problem_10_1000_4_4;2626;2626;0.003000
problem_10_1000_4_5;4694;4694;0.005002
problem_50_50_1_1;581;245;0.002003
problem_50_50_1_2;878;390;0.003000
problem_50_50_1_3;930;648;0.006001
problem_50_50_1_4;1150;885;0.004001
problem_50_50_1_5;1314;1080;0.007005
problem_50_50_2_1;298;246;0.002001
problem_50_50_2_2;456;390;0.002000
problem_50_50_2_3;696;648;0.003001
problem_50_50_2_4;960;885;0.005005
problem_50_50_2_5;1105;1080;0.006003
problem_50_50_3_1;419;239;0.001001
problem_50_50_3_2;698;398;0.002009
problem_50_50_3_3;990;660;0.003994
problem_50_50_3_4;1234;824;0.007005
problem_50_50_3_5;1445;1005;0.005011
problem_50_50_4_1;239;239;0.001000
problem_50_50_4_2;398;398;0.002001
problem_50_50_4_3;660;660;0.005003
problem_50_50_4_4;824;824;0.005008
problem_50_50_4_5;1005;1005;0.005007
problem_50_100_1_1;1098;458;0.004004
problem_50_100_1_2;1691;807;0.004003
problem_50_100_1_3;1873;1363;0.007004
problem_50_100_1_4;2060;1616;0.009004
problem_50_100_1_5;2221;2078;0.012007
problem_50_100_2_1;570;464;0.003002
problem_50_100_2_2;930;806;0.004002
problem_50_100_2_3;1500;1373;0.008013
problem_50_100_2_4;1742;1618;0.007996
problem_50_100_2_5;2163;2080;0.012007
problem_50_100_3_1;639;439;0.003002
problem_50_100_3_2;1191;931;0.006005
problem_50_100_3_3;1660;1310;0.007012
problem_50_100_3_4;1967;1557;0.010999
problem_50_100_3_5;2445;2005;0.011016
problem_50_100_4_1;439;439;0.002994
problem_50_100_4_2;931;931;0.005003
problem_50_100_4_3;1310;1310;0.007007
problem_50_100_4_4;1557;1557;0.009003
problem_50_100_4_5;2005;2005;0.012009
problem_50_500_1_1;6082;2071;0.011006
problem_50_500_1_2;7595;4005;0.023015
problem_50_500_1_3;10498;6251;0.035032
problem_50_500_1_4;9895;8334;0.047031
problem_50_500_1_5;13521;11170;0.090060
problem_50_500_2_1;2436;2076;0.016011
problem_50_500_2_2;4497;4006;0.025018
problem_50_500_2_3;6900;6265;0.139145
problem_50_500_2_4;8926;8352;0.112075
problem_50_500_2_5;11355;11246;0.107572
problem_50_500_3_1;2432;2232;0.015010
problem_50_500_3_2;4934;4664;0.035023
problem_50_500_3_3;6810;6460;0.058538
problem_50_500_3_4;9090;8690;0.056036
problem_50_500_3_5;12445;12005;0.082555
problem_50_500_4_1;2239;2239;0.014009
problem_50_500_4_2;4664;4664;0.032021
problem_50_500_4_3;6460;6460;0.041027
problem_50_500_4_4;8690;8690;0.094562
problem_50_500_4_5;12005;12005;0.075050
problem_50_1000_1_1;15314;3841;0.025015
problem_50_1000_1_2;16317;8476;0.055036
problem_50_1000_1_3;19982;13021;0.122082
problem_50_1000_1_4;22207;14631;0.085557
problem_50_1000_1_5;20307;22858;0.113576
problem_50_1000_2_1;4789;3913;0.018512
problem_50_1000_2_2;9640;8507;0.041027
problem_50_1000_2_3;14379;13020;0.063042
problem_50_1000_2_4;16026;14682;0.096064
problem_50_1000_2_5;22983;22910;0.182622
problem_50_1000_3_1;4512;4322;0.028519
problem_50_1000_3_2;9914;9664;0.064044
problem_50_1000_3_3;13540;13210;0.085557
problem_50_1000_3_4;15424;15024;0.099566
problem_50_1000_3_5;21205;20755;0.119580
problem_50_1000_4_1;4322;4322;0.026018
problem_50_1000_4_2;9664;9664;0.048533
problem_50_1000_4_3;13210;13210;0.083555
problem_50_1000_4_4;15024;15024;0.073547
problem_50_1000_4_5;20755;20755;0.099065
problem_100_50_1_1;1244;488;0.004002
problem_100_50_1_2;1635;779;0.010006
problem_100_50_1_3;2066;1243;0.015010
problem_100_50_1_4;2306;1664;0.016511
problem_100_50_1_5;2415;2182;0.023014
problem_100_50_2_1;580;488;0.010005
problem_100_50_2_2;924;779;0.014009
problem_100_50_2_3;1344;1244;0.012008
problem_100_50_2_4;1793;1664;0.017510
problem_100_50_2_5;2280;2191;0.022515
problem_100_50_3_1;840;480;0.003502
problem_100_50_3_2;1421;831;0.012508
problem_100_50_3_3;1956;1276;0.017512
problem_100_50_3_4;2553;1743;0.023515
problem_100_50_3_5;2911;2011;0.018512
problem_100_50_4_1;480;480;0.003502
problem_100_50_4_2;831;831;0.010007
problem_100_50_4_3;1276;1276;0.010005
problem_100_50_4_4;1743;1743;0.017511
problem_100_50_4_5;2011;2011;0.023016
problem_100_100_1_1;2299;941;0.007505
problem_100_100_1_2;3372;1676;0.017011
problem_100_100_1_3;4093;2718;0.040528
problem_100_100_1_4;4410;3230;0.037523
problem_100_100_1_5;4869;4355;0.082056
problem_100_100_2_1;1137;946;0.022014
problem_100_100_2_2;1960;1679;0.026017
problem_100_100_2_3;2967;2719;0.030019
problem_100_100_2_4;3488;3230;0.027017
problem_100_100_2_5;4600;4358;0.042027
problem_100_100_3_1;1280;880;0.012508
problem_100_100_3_2;2305;1765;0.024016
problem_100_100_3_3;3236;2526;0.032521
problem_100_100_3_4;3973;3143;0.036524
problem_100_100_3_5;4953;4053;0.040527
problem_100_100_4_1;880;880;0.009007
problem_100_100_4_2;1765;1765;0.018512
problem_100_100_4_3;2526;2526;0.024015
problem_100_100_4_4;3143;3143;0.031520
problem_100_100_4_5;4053;4053;0.047031
problem_100_500_1_1;12251;3977;0.030021
problem_100_500_1_2;16595;7945;0.076550
problem_100_500_1_3;20276;13118;0.122112
problem_100_500_1_4;22668;17226;0.147096
problem_100_500_1_5;25602;22857;0.164108
problem_100_500_2_1;4741;3977;0.028020
problem_100_500_2_2;9038;7945;0.053034
problem_100_500_2_3;14354;13116;0.088059
problem_100_500_2_4;18534;17230;0.155103
problem_100_500_2_5;23689;22857;0.305240
problem_100_500_3_1;4574;4164;0.029520
problem_100_500_3_2;8958;8398;0.077552
problem_100_500_3_3;13336;12626;0.110574
problem_100_500_3_4;16686;15876;0.125584
problem_100_500_3_5;23786;22886;0.168613
problem_100_500_4_1;4164;4164;0.028519
problem_100_500_4_2;8398;8398;0.051034
problem_100_500_4_3;12626;12626;0.074048
problem_100_500_4_4;15876;15876;0.095063
problem_100_500_4_5;22886;22886;0.153260
problem_100_1000_1_1;24357;8391;0.057039
problem_100_1000_1_2;33445;16588;0.112074
problem_100_1000_1_3;41369;25119;0.182122
problem_100_1000_1_4;46501;34222;0.206137
problem_100_1000_1_5;44623;46576;0.275184
problem_100_1000_2_1;10152;8395;0.048032
problem_100_1000_2_2;18860;16611;0.099066
problem_100_1000_2_3;28012;25116;0.155104
problem_100_1000_2_4;36947;34227;0.225152
problem_100_1000_2_5;47485;46608;0.287191
problem_100_1000_3_1;9074;8664;0.051035
problem_100_1000_3_2;18095;17565;0.109073
problem_100_1000_3_3;26316;25626;0.153102
problem_100_1000_3_4;32353;31543;0.195130
problem_100_1000_3_5;41286;40386;0.245164
problem_100_1000_4_1;8664;8664;0.049032
problem_100_1000_4_2;17565;17565;0.101067
problem_100_1000_4_3;25626;25626;0.149100
problem_100_1000_4_4;31543;31543;0.184123
problem_100_1000_4_5;40386;40386;0.235157
problem_500_50_1_1;6115;2147;0.078052
problem_500_50_1_2;8096;4229;0.122082
problem_500_50_1_3;10441;6398;0.188127
problem_500_50_1_4;11771;8602;0.288192
problem_500_50_1_5;12073;10738;0.322215
problem_500_50_2_1;2647;2147;0.070047
problem_500_50_2_2;4862;4229;0.128084
problem_500_50_2_3;7070;6398;0.276185
problem_500_50_2_4;9252;8602;0.524350
problem_500_50_2_5;11088;10738;0.646431
problem_500_50_3_1;4129;2159;0.129087
problem_500_50_3_2;6879;3929;0.248158
problem_500_50_3_3;9992;6512;0.426283
problem_500_50_3_4;12608;8518;0.495331
problem_500_50_3_5;15155;10615;0.634424
problem_500_50_4_1;2159;2159;0.123082
problem_500_50_4_2;3929;3929;0.226151
problem_500_50_4_3;6512;6512;0.381255
problem_500_50_4_4;8518;8518;0.501334
problem_500_50_4_5;10615;10615;0.619413
problem_500_100_1_1;11506;4272;0.247165
problem_500_100_1_2;16388;8429;0.493329
problem_500_100_1_3;20499;13048;0.773515
problem_500_100_1_4;23042;16802;1.028.686
problem_500_100_1_5;24368;20609;1.193.796
problem_500_100_2_1;5136;4272;0.246164
problem_500_100_2_2;9693;8429;0.488325
problem_500_100_2_3;14245;13048;0.756506
problem_500_100_2_4;18015;16802;0.977653
problem_500_100_2_5;21506;20613;1.250.834
problem_500_100_3_1;6251;4201;0.243162
problem_500_100_3_2;11206;8346;0.491327
problem_500_100_3_3;16527;13037;0.765512
problem_500_100_3_4;20841;16751;0.993665
problem_500_100_3_5;25498;20948;1.231.822
problem_500_100_4_1;4201;4201;0.249166
problem_500_100_4_2;8346;8346;0.536358
problem_500_100_4_3;13037;13037;0.740495
problem_500_100_4_4;16751;16751;1.094.732
problem_500_100_4_5;20948;20948;1.216.813
problem_500_500_1_1;58221;21655;1.286.859
problem_500_500_1_2;84484;39795;2.334.560
problem_500_500_1_3;99355;63446;3.651.042
problem_500_500_1_4;114552;85133;3.988.766
problem_500_500_1_5;122059;103029;4.999.405
problem_500_500_2_1;25685;21655;1.688.127
problem_500_500_2_2;45826;39796;2.561.568
problem_500_500_2_3;70566;63448;2.983.311
problem_500_500_2_4;91102;85135;3.566.382
problem_500_500_2_5;107491;103030;5.662.879
problem_500_500_3_1;23291;21301;1.620.272
problem_500_500_3_2;43513;40613;2.268.163
problem_500_500_3_3;65547;61987;3.093.649
problem_500_500_3_4;86441;82351;3.225.289
problem_500_500_3_5;112415;107865;4.710.357
problem_500_500_4_1;21301;21301;1.441.154
problem_500_500_4_2;40613;40613;2.460.258
problem_500_500_4_3;61987;61987;4.155.454
problem_500_500_4_4;82351;82351;3.158.347
problem_500_500_4_5;107865;107865;5.240.500
problem_500_1000_1_1;114892;42822;2.494.667
problem_500_1000_1_2;164603;84962;4.968.317
problem_500_1000_1_3;203751;122947;7.763.605
problem_500_1000_1_4;229432;166134;5.797.005
problem_500_1000_1_5;252230;213026;6.996.674
problem_500_1000_2_1;51549;42820;1.585.058
problem_500_1000_2_2;97172;84960;5.070.386
problem_500_1000_2_3;135803;122948;7.255.844
problem_500_1000_2_4;177989;166136;9.847.576
problem_500_1000_2_5;219427;213030;12.251.274
problem_500_1000_3_1;44414;42384;1.944.298
problem_500_1000_3_2;87609;84779;3.757.511
problem_500_1000_3_3;125037;121487;5.065.382
problem_500_1000_3_4;174411;170351;7.119.399
problem_500_1000_3_5;223655;219115;10.792.140
problem_500_1000_4_1;42384;42384;2.431.234
problem_500_1000_4_2;84779;84779;5.647.030
problem_500_1000_4_3;121487;121487;5.748.446
problem_500_1000_4_4;170351;170351;9.194.139
problem_500_1000_4_5;219115;219115;11.235.430
